Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1341,Apples,2015,2015,ha,56,A,Official figure
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1341,Apples,2016,2016,ha,82,A,Official figure
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1341,Apples,2017,2017,ha,74,A,Official figure
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1341,Apples,2018,2018,ha,238,A,Official figure
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1341,Apples,2019,2019,ha,67,A,Official figure
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1341,Apples,2020,2020,ha,57,A,Official figure
QCL,Crops and livestock products,404,Kenya,5419,Yield,1341,Apples,2015,2015,hg/ha,105179,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1341,Apples,2016,2016,hg/ha,75976,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1341,Apples,2017,2017,hg/ha,40541,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1341,Apples,2018,2018,hg/ha,17899,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1341,Apples,2019,2019,hg/ha,38955,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1341,Apples,2020,2020,hg/ha,18596,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1341,Apples,2015,2015,tonnes,589,A,Official figure
QCL,Crops and livestock products,404,Kenya,5510,Production,1341,Apples,2016,2016,tonnes,623,A,Official figure
QCL,Crops and livestock products,404,Kenya,5510,Production,1341,Apples,2017,2017,tonnes,300,A,Official figure
QCL,Crops and livestock products,404,Kenya,5510,Production,1341,Apples,2018,2018,tonnes,426,A,Official figure
QCL,Crops and livestock products,404,Kenya,5510,Production,1341,Apples,2019,2019,tonnes,261,A,Official figure
QCL,Crops and livestock products,404,Kenya,5510,Production,1341,Apples,2020,2020,tonnes,106,A,Official figure
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1343,Apricots,2015,2015,ha,17,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1343,Apricots,2016,2016,ha,16,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1343,Apricots,2017,2017,ha,16,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1343,Apricots,2018,2018,ha,16,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1343,Apricots,2019,2019,ha,16,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1343,Apricots,2020,2020,ha,16,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1343,Apricots,2015,2015,hg/ha,47059,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1343,Apricots,2016,2016,hg/ha,46875,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1343,Apricots,2017,2017,hg/ha,47500,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1343,Apricots,2018,2018,hg/ha,48125,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1343,Apricots,2019,2019,hg/ha,47500,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1343,Apricots,2020,2020,hg/ha,47500,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1343,Apricots,2015,2015,tonnes,80,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1343,Apricots,2016,2016,tonnes,75,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1343,Apricots,2017,2017,tonnes,76,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1343,Apricots,2018,2018,tonnes,77,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1343,Apricots,2019,2019,tonnes,76,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1343,Apricots,2020,2020,tonnes,76,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1379.01,Areca nuts,2015,2015,tonnes,113,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1379.01,Areca nuts,2016,2016,tonnes,113,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1379.01,Areca nuts,2017,2017,tonnes,113,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1379.01,Areca nuts,2018,2018,tonnes,113,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1379.01,Areca nuts,2019,2019,tonnes,113,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1379.01,Areca nuts,2020,2020,tonnes,113,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1216,Artichokes,2015,2015,ha,5,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1216,Artichokes,2016,2016,ha,5,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1216,Artichokes,2017,2017,ha,6,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1216,Artichokes,2018,2018,ha,5,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1216,Artichokes,2019,2019,ha,5,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1216,Artichokes,2020,2020,ha,5,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1216,Artichokes,2015,2015,hg/ha,48000,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1216,Artichokes,2016,2016,hg/ha,54000,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1216,Artichokes,2017,2017,hg/ha,45000,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1216,Artichokes,2018,2018,hg/ha,52000,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1216,Artichokes,2019,2019,hg/ha,54000,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1216,Artichokes,2020,2020,hg/ha,54000,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1216,Artichokes,2015,2015,tonnes,24,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1216,Artichokes,2016,2016,tonnes,27,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1216,Artichokes,2017,2017,tonnes,27,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1216,Artichokes,2018,2018,tonnes,26,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1216,Artichokes,2019,2019,tonnes,27,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1216,Artichokes,2020,2020,tonnes,27,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1211,Asparagus,2015,2015,ha,80,A,Official figure
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1211,Asparagus,2016,2016,ha,72,A,Official figure
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1211,Asparagus,2017,2017,ha,53,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1211,Asparagus,2018,2018,ha,44,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1211,Asparagus,2019,2019,ha,44,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1211,Asparagus,2020,2020,ha,44,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1211,Asparagus,2015,2015,hg/ha,70000,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1211,Asparagus,2016,2016,hg/ha,55833,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1211,Asparagus,2017,2017,hg/ha,55094,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1211,Asparagus,2018,2018,hg/ha,60455,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1211,Asparagus,2019,2019,hg/ha,62045,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1211,Asparagus,2020,2020,hg/ha,62500,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5510,Production,1211,Asparagus,2015,2015,tonnes,560,A,Official figure
QCL,Crops and livestock products,404,Kenya,5510,Production,1211,Asparagus,2016,2016,tonnes,402,A,Official figure
QCL,Crops and livestock products,404,Kenya,5510,Production,1211,Asparagus,2017,2017,tonnes,292,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1211,Asparagus,2018,2018,tonnes,266,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1211,Asparagus,2019,2019,tonnes,273,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5510,Production,1211,Asparagus,2020,2020,tonnes,275,I,Imputed value
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1311,Avocados,2015,2015,ha,8486,A,Official figure
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1311,Avocados,2016,2016,ha,10305,A,Official figure
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1311,Avocados,2017,2017,ha,16460,A,Official figure
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1311,Avocados,2018,2018,ha,14497,A,Official figure
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1311,Avocados,2019,2019,ha,20125,A,Official figure
QCL,Crops and livestock products,404,Kenya,5312,Area harvested,1311,Avocados,2020,2020,ha,24447,A,Official figure
QCL,Crops and livestock products,404,Kenya,5419,Yield,1311,Avocados,2015,2015,hg/ha,160759,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1311,Avocados,2016,2016,hg/ha,170835,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1311,Avocados,2017,2017,hg/ha,132253,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1311,Avocados,2018,2018,hg/ha,161366,E,Estimated value
QCL,Crops and livestock products,404,Kenya,5419,Yield,1311,Avocados,2019,2019,hg/ha,131196,E,Estimated value
